#  eta  phi  dep  det     cap0     cap1     cap2     cap3  HcalDetId
    -5   44    1   HB  4.36960  4.44860  4.25100  4.81460   420042AC
    -5   45    1   HB  4.34800  4.72660  4.44480  4.38640   420042AD
    -5   46    1   HB  4.03420  3.73560  4.12220  4.09040   420042AE
    -5   47    1   HB  4.51800  4.68320  4.51480  4.59000   420042AF
    -5   48    1   HB  3.50920  3.55880  3.74720  3.71840   420042B0
    -5   49    1   HB  3.90560  4.01200  4.22060  4.12520   420042B1
    -5   50    1   HB  3.75400  3.68300  4.22740  3.90140   420042B2
    -5   51    1   HB  3.54740  4.07080  4.01900  4.07500   420042B3
    -5   52    1   HB  4.15320  3.76360  4.34480  4.22420   420042B4
    -5   53    1   HB  4.40960  4.52940  4.50820  4.55080   420042B5
    -5   54    1   HB  3.81880  3.76340  4.11820  4.01040   420042B6
    -5   55    1   HB  3.95640  4.15580  4.35480  3.97220   420042B7
    -5   56    1   HB  3.21280  2.84320  3.53380  3.30380   420042B8
    -5   57    1   HB  3.44020  3.31100  3.47140  3.43680   420042B9
    -5   58    1   HB  2.74100  2.66840  3.10640  2.83960   420042BA
    -5   59    1   HB  3.84100  3.36580  4.36800  3.72500   420042BB
    -5   60    1   HB  3.34880  3.28660  3.35580  3.72080   420042BC
    -5   61    1   HB  4.59880  4.41080  4.59400  4.59060   420042BD
    -5   62    1   HB  2.88220  2.98720  3.50880  2.85140   420042BE
    -5   63    1   HB  4.26650  4.23800  4.26400  4.55450   420042BF
    -5   64    1   HB  3.73850  3.69400  4.08050  3.46700   420042C0
    -5   65    1   HB  3.29900  3.03727  3.50100  3.88650   420042C1
    -5   66    1   HB  2.84100  3.03200  2.71550  2.85400   420042C2
    -5   67    1   HB  4.25400  4.19860  4.57780  4.28840   420042C3
    -5   68    1   HB  3.87280  3.51640  4.09320  3.79780   420042C4
    -5   69    1   HB  4.18440  4.09040  4.49900  4.02220   420042C5
    -5   70    1   HB  3.09700  3.27400  3.48100  3.47720   420042C6
